mol_id,split0_test_score_JAK1,split1_test_score_JAK1,split2_test_score_JAK1,split3_test_score_JAK1,split4_test_score_JAK1,split0_test_score_GSK3,split1_test_score_GSK3,split2_test_score_GSK3,split3_test_score_GSK3,split4_test_score_GSK3,split0_test_score_pparD,split1_test_score_pparD,split2_test_score_pparD,split3_test_score_pparD,split4_test_score_pparD
0ns,0.5257648477038592,0.6437006829764012,0.5781145330272754,0.7358919111374325,0.7564453649085823,0.1511098201398476,0.1993194191650453,0.1374000272449655,0.100507694692468,-0.0502860782559089,-0.0044406752923964,-0.1751218703951507,-0.0328572758487373,0.0805381881696435,0.0402030800637375
1ns,0.5783122725162753,0.7079836212066326,0.4887779837137159,0.6655604163750756,0.7475006414578815,0.1024229058371486,0.0057141142200936,0.070729566370233,0.2070280989307323,0.1273199075649586,-0.048933564318053,0.0285257924560187,-0.0572722216903092,-0.2542499491128378,-0.1023954448946622
2ns,0.1618016014004101,0.694102590881116,0.5196835791931474,0.674655519257973,0.7982531520702898,-0.0566909819027368,0.1660938260209042,0.1676650257699382,0.1436749092770608,0.0623440373540051,0.0403735289122256,-0.0060691182538628,-0.0810950264711387,-0.0703924698901492,0.0401810689255366
3ns,0.5519273832716569,0.6989228125699529,0.5714342351682198,0.7241480188186111,0.7060128540889163,0.009774456554541,0.2253740724720291,0.2035703142171717,0.1367190650556811,0.1071358916228943,0.0301962147346078,-0.0941412153677232,-0.0947816564283505,-0.0275006705713254,-0.0224183369884576
4ns,0.5927633567553658,0.6739863518479985,0.6297867188779238,0.6743831858836331,0.7350910752977811,-0.03033291164433,0.1792332158744868,0.202735578877171,0.1349391670361551,0.0821677672616522,0.0999995476161772,0.0389932788966832,0.0085255622952316,-0.0963263928765452,0.0539410831712717
5ns,0.5594282415617771,0.5823059348791364,0.6101106857675909,0.6986600165317893,0.7242115779328144,0.0615957457732726,0.2440437779060946,0.1480680040727147,0.1531256920692969,0.0709933482024031,-0.1226199576760438,0.052665655746092,-0.1929013962068944,0.1678755074947369,0.0467706624192106
6ns,0.6038209630098885,0.625473522587314,0.4787621658490709,0.7034102405524781,0.7690160690063083,0.1370088668795772,0.1075411291624355,0.1623601830866862,0.1875894461163393,0.0995812600161224,0.0662894615565115,-0.1065319368433215,0.1170008177799568,0.0847112374819123,-0.0006945159506008
7ns,0.5445769788263722,0.6438597040547929,0.5468321355738641,0.7052146084853943,0.603665950127843,-0.0509292524572566,0.2122810772137814,0.1630799954108109,0.2491069960248841,0.1245259587768513,0.0867829264100642,-0.0389022994906733,-0.15791903921419,0.0966705038057875,-0.02641016337887
8ns,0.4620625953296711,0.6378937688338596,0.5844436329187196,0.7116015915936177,0.7447462656427188,0.1354828896650296,0.1982965777813005,0.3370472058216091,0.1263611691806185,0.0603391651901359,-0.1303819912716266,-0.1121750935879273,-0.057417900663244,-0.0258772088884635,-0.4923843499699347
9ns,0.5481465362852331,0.6529350314982367,0.6021703752975363,0.7100707196282048,0.7212434929047586,0.1645739217767109,-0.0256156682739161,0.1905112793402853,0.1022402376271405,0.0884583925591084,-0.0757967682498594,0.0466935562644195,-0.0220346693232034,-0.1865657777687095,-0.0175260738102729
10ns,0.616082324277473,0.6170031203680602,0.5918403053149959,0.7387725922457714,0.7855968651496041,0.1382660921029737,0.0655187780722428,0.1793803157724022,0.0720155332845989,0.1172052161072852,-0.0479545774534582,-0.0893771679801238,0.0513188256055239,-0.0976621290970847,-0.1196814937652299
