mol_id,split0_test_score_JAK1,split1_test_score_JAK1,split2_test_score_JAK1,split3_test_score_JAK1,split4_test_score_JAK1,split0_test_score_GSK3,split1_test_score_GSK3,split2_test_score_GSK3,split3_test_score_GSK3,split4_test_score_GSK3,split0_test_score_pparD,split1_test_score_pparD,split2_test_score_pparD,split3_test_score_pparD,split4_test_score_pparD
0ns,0.607452763948997,0.5329188250417691,0.5633130401203299,0.7367760180527232,0.6347916953357269,0.2785346614149453,0.0874307685997228,0.18318430078315,0.1540582801414217,0.1769560580735416,-0.0201322869223721,0.0592837766636635,0.1433272169172214,0.1095263600786125,-0.0240413347635146
1ns,0.39377895921308,0.3283640405603583,0.3685875437786913,0.3278678885764191,0.7266518388308472,0.0569395730159512,-0.3102906239041838,0.0134218611979951,-0.1921047490373986,-0.1302881143272312,-0.0863218220463231,-0.0165711241032757,-0.0465319570828064,-0.2561859531465538,-0.1520071685817594
2ns,0.4208360254841931,0.5625608457519722,0.2991352281934146,0.6487955214419006,0.7260387925296647,-0.1299500341463424,-0.9032361308312769,-0.0109922704558516,0.0131689416021277,-0.121400341662589,-0.108400312704598,-0.0152782491665111,-0.0353610212499935,-0.0279016869179693,-0.18495422815424
3ns,0.4749103878021823,0.5401897921394155,-0.2452518677679793,0.5125971152403124,0.5997581001668608,-0.0745556583065298,-0.0257518870726001,0.059266723803512,-0.1794709493434445,-0.123126311736635,-0.1085733421933841,-0.0660290287436249,-0.6798119226061985,-0.1558350413345925,-0.1372194541540017
4ns,0.3836752546653159,0.520549782854365,0.5700158609002117,0.4413365771354771,0.7345258728083995,-0.1115323501868619,-0.2854165177809022,-0.0927012430733673,0.0208158724540271,-0.0301163060106393,-0.3919291802709055,-0.1730345810093065,-0.1134171128983672,-0.0888575379913556,-0.1406625618081995
5ns,0.5355676917110956,0.4389707080858066,0.5972896316825127,0.3467048613013624,0.6252172870380801,-0.274369869297093,-0.0210750344628172,0.0997933592920771,-0.0981717068718524,-0.0424966181161339,-0.1220152162532923,-0.0627819809972518,-0.0945870611059263,-0.0929604351695492,-0.3462758954544265
6ns,0.4053793776108311,0.4441555786574171,0.442515509744847,0.5993325190134069,0.4280336500958783,-0.247315497562683,-0.3690470237542607,-0.067928441640813,-0.1197027291375525,-0.0660561699615711,-0.1047432521504625,-0.1510518190711891,-0.1442104918457605,-0.1769578172478727,-0.2662370581251931
7ns,0.2580226259217875,0.5388340574920032,0.3230232972248821,0.6192998397261782,0.1461267709924965,-0.1082073237970706,-0.265603904245129,-0.0698547078456104,-0.2659126508540719,0.0196899117783109,-0.1819911838659458,0.0367778157916665,-0.1610060907696064,-0.0293170071005974,-0.1956099472618031
8ns,0.5416141410754416,0.5030485930080785,0.4792541400198767,0.1922982804966331,0.4541938800553707,-0.1212361882339461,-0.1027132730774518,0.1126090823829474,-0.0906649673928081,-0.3186467064541702,-0.2299471315602796,-0.1738841846529371,-0.0690487351442079,-0.1665002238493464,-0.1754179459593621
9ns,0.4392517238326795,-0.3555876616309128,0.5282802709191925,0.5917409879844793,0.5300498978537826,-0.1593544256787198,-0.0596893943465171,-0.1144195642517618,-0.1609323267335887,-0.1748916038499188,-0.160188748668788,-0.2035360330461328,-0.3000215998308337,-0.3148861790174706,-0.1409573900013379
10ns,0.2843852620676222,0.3633577257190068,0.351271661946001,0.6409104394456605,0.7406891264611701,-0.1859310101238438,-0.1331522899265285,-0.0424819249884356,-0.0063321390549162,-0.1814633933273699,-0.0533555152839306,-0.1317344724822247,-0.2663729738219385,0.0004552866655868,-0.1213960356531589
