mol_id,split0_test_score_JAK1,split1_test_score_JAK1,split2_test_score_JAK1,split3_test_score_JAK1,split4_test_score_JAK1,split0_test_score_GSK3,split1_test_score_GSK3,split2_test_score_GSK3,split3_test_score_GSK3,split4_test_score_GSK3,split0_test_score_pparD,split1_test_score_pparD,split2_test_score_pparD,split3_test_score_pparD,split4_test_score_pparD
0ns,0.5911646562816354,0.6590452993465337,0.5788738427763764,0.6783117289991676,0.579174755963028,0.12602443878862,0.0460138206038998,0.0329345862464155,0.050315184280263,-0.0018331170550907,-0.1672674733873231,-0.0570635748124741,-0.0882275349256409,0.0726518077936368,-0.0563225567446148
1ns,0.5893288251610521,0.6048077147621641,0.5684565488774521,0.6116375321099697,0.7249525315946848,-0.1197660433251719,-0.2290381495397548,-0.1689322469500311,-0.1050979806873224,-0.1248241055957426,-0.3484537720008303,-0.362463764343677,-0.1959919020823384,-0.6347867057070664,-0.0235664119131491
2ns,-0.0306504454043432,0.6463249638682168,0.5353457045683916,0.5522571568164589,0.706148000515247,-0.1559379650237167,-0.2012560608143616,0.1231229097292556,-0.2051931403739708,0.0476160023028636,-0.0910553787926018,-0.2480008974514729,-0.2478738940446101,-0.3039303887628175,-0.2503469197143892
3ns,0.567084834482416,0.4059768497041522,0.4153602295849508,0.5475962651429717,0.6096804838350329,-0.061503636664713,-0.0238434973244965,-0.0063186537327355,-0.2126935557547773,-0.1016144773154501,-0.1671718990360018,-0.2265363988238837,-0.3190454796966835,-0.2274697221376558,-0.3851540698825857
4ns,0.488303587852708,0.6492783796278115,0.5517196652067649,0.6954308989765414,0.5249092378046727,-0.2909398744170948,-0.071593568773266,-0.1769879774016314,0.077110657400269,-0.1944608015304112,-0.3381289954048263,0.0780794461463358,-0.1879006750582168,-0.339973650806493,-0.2232725719061925
5ns,0.5382904969993997,0.6368016296801409,0.5898813486431933,0.6367257740883182,0.6760488569388341,0.0386853152260457,0.1040055422829403,-0.0024078404003737,-0.1969728870766431,-0.3906168889012129,-0.0443436316691676,-0.1555915924214828,-0.2429476509612731,-0.0455641541595339,-0.54026579762115
6ns,0.5499889705944682,0.5948729857204587,0.0625344208578343,0.7306565724519127,0.6629298382485243,-0.0966513315223385,-0.009012987300988,-0.362425424194295,-0.088163015497295,-0.2569233526132768,-0.3653470559474847,-0.2153754690083198,-0.0766901579313941,-0.3127124502221046,-0.2286089044210983
7ns,0.640145237322745,0.5990101460181725,0.5157832384928334,0.6738803159235771,0.6519392612938169,-0.007218328242214,-0.1185018784881277,-0.1252593992020363,-0.2435627657282661,-0.0592448994486589,-0.1715508086386148,-0.1891119262420608,-0.1675528373437849,-0.1891645068663128,-0.279231651744914
8ns,0.5606159838082323,0.5578736677913831,0.555035646668034,0.6984563536090853,0.6839361407211977,-0.3451858904130063,-0.0728267511278009,-0.0426518004912672,-0.1117392685756542,-0.0944812064710134,-0.2356901463990017,-0.3254856028447681,-0.2226393827030957,-0.0964263359275257,-0.2923807472185689
9ns,0.5508626405186373,0.5535987763888011,0.6211551626077328,0.4722784204640581,0.5709564029993259,-0.0318945084809012,-0.1254814540645363,-0.0653514367642449,0.0468420540802883,-0.2172961620026281,-0.4672652038305158,-0.2381999002656261,-0.4090138665648588,-0.4111287046768861,-0.4197421448749709
10ns,0.4712020282155025,0.493865444114886,0.4856301100064719,0.6550124200917232,0.728446459792444,-0.1953823964550118,-0.0922574467757724,-0.0084073687460863,0.0288530526417922,-0.1603941025142672,-0.1017924175930284,-0.0938040721625552,-0.0313893693725302,-0.1513837754085976,-0.2745961674380026
