mol_id,split0_test_score_JAK1,split1_test_score_JAK1,split2_test_score_JAK1,split3_test_score_JAK1,split4_test_score_JAK1,split0_test_score_GSK3,split1_test_score_GSK3,split2_test_score_GSK3,split3_test_score_GSK3,split4_test_score_GSK3,split0_test_score_pparD,split1_test_score_pparD,split2_test_score_pparD,split3_test_score_pparD,split4_test_score_pparD
0ns,0.5974576703601633,0.6649202927111062,0.5532372617030776,0.523064591940264,0.6549295751766133,0.0308700910192037,-0.0641269097599279,0.2718110067167257,0.141446737217578,0.2123005557621379,-0.0952056605914464,-0.0224032175746178,0.0511596086214787,0.0961346798236572,-0.051493025704524
1ns,0.5205580193246235,0.4960850971741776,0.4926659445463121,0.6103924513725951,0.6474830138173476,0.1288522935218826,-0.0459442870941366,-0.1674068187171138,-0.1017887583481216,0.0332412526790709,-0.0969563136388409,-0.0917901224438555,-0.2099977726586614,0.0178273295505754,-0.067330738490023
2ns,0.4949190998500737,0.5639666485933836,0.4307519359268433,0.6707781637952028,0.7194003101872224,-0.2024112986946824,-0.2655806548526285,0.0875336287275604,-0.0591815550040946,-0.1177996426462042,-0.0584730984684676,0.0271803263596071,-0.126273986979301,0.0396180717038541,-0.224550095396568
3ns,0.5951831192341983,0.5497272974576383,0.4456890951211146,0.2027059502863821,0.6812385476241621,-0.0070007904716453,-0.0182158994994361,-0.0031635104076004,-0.3097849555643859,-0.1869765959618694,-0.2046344625400438,-0.0803070475136513,-0.2501315485696533,-0.0164427356257823,-0.1173519413219503
4ns,0.5066945120072901,0.5245757891924736,0.5517630153150173,0.6747202093840469,0.6382676250683947,-0.1426958855485098,-0.1367552793550133,0.0515465524131925,0.0592961087128331,-0.0661065781414005,-0.2007833216631129,-0.0035850289507353,-0.2169936465476551,0.0502879037257416,-0.1636725750342902
5ns,0.5779891389606883,0.6503369839961594,0.559612561220743,0.4025561319763272,0.5991503631140329,-0.2213675814109272,0.0227483927295838,0.1352584816742719,-0.2498272167732087,-0.0509551266024095,-0.0708990250110652,-0.1433733807284487,-0.0114200644651802,-0.2670487588175474,-0.1444681849840932
6ns,0.3873633030997537,0.5732495107387737,0.4901383375719237,0.6539158615157341,0.7849543728263586,-0.0724125910956203,-0.1303518093278182,0.0282561068139475,-0.0662286555693956,-0.3502203380008748,-0.0640630727334838,-0.06917507896666,-0.1851445291067743,-0.0243153683353607,-0.2026283266237789
7ns,0.475671539554756,0.5647207506608304,0.5841774398546369,0.567979603860262,0.6162837049106002,-0.0955091461007071,-0.0540752672901096,-0.0461229119135679,-0.1668907155692507,-0.0194733892905927,-0.0928016042211785,-0.0077093232625131,-0.044572680735017,0.0458352287079298,-0.170070600821298
8ns,0.4145616803766716,0.5145873163673884,0.4092846247894993,0.57903279005271,0.6555778893084089,-0.3077809087599283,-0.1169084700087943,0.1773912228576959,-0.0324461771440021,-0.1482024654731168,-0.0246509348093397,-0.0179850644793155,0.0239194673050537,-0.1587601510477054,-0.0983238450780588
9ns,0.517314079784708,0.5684263878803968,0.5682088999902393,0.6186333028456726,0.641796681437895,-0.3039270265591438,-0.3100510361204041,0.1045173296521753,0.0411499383170935,-0.2809701288095969,-0.0528043972971783,0.0476982000148948,-0.5022491285954991,-0.1677026373192947,-0.0213261919593061
10ns,0.4784958936275024,0.5802127224608558,0.3410969934037532,0.662749185102218,0.7384100028854521,-0.363559340656937,-0.1265713239823096,-0.0305413394998264,0.0125233407816587,-0.0128903131009494,-0.054025341666402,-0.0655262849440878,-0.0675241463666709,-0.1499953257878765,-0.2347417169552097
