mol_id,split0_test_score_JAK1,split1_test_score_JAK1,split2_test_score_JAK1,split3_test_score_JAK1,split4_test_score_JAK1,split5_test_score_JAK1,split6_test_score_JAK1,split7_test_score_JAK1,split8_test_score_JAK1,split9_test_score_JAK1,split0_test_score_GSK3,split1_test_score_GSK3,split2_test_score_GSK3,split3_test_score_GSK3,split4_test_score_GSK3,split5_test_score_GSK3,split6_test_score_GSK3,split7_test_score_GSK3,split8_test_score_GSK3,split9_test_score_GSK3,split0_test_score_pparD,split1_test_score_pparD,split2_test_score_pparD,split3_test_score_pparD,split4_test_score_pparD,split5_test_score_pparD,split6_test_score_pparD,split7_test_score_pparD,split8_test_score_pparD,split9_test_score_pparD
0ns,0.7731131417326426,0.6723581213318293,0.7619900980160085,0.7397379743116693,0.6555486473558301,0.6949681984015175,0.8124183967499218,0.6501164898431766,0.7264502320186115,0.7712859325368718,0.0880139108039989,0.1525108744559814,0.1834140126590387,0.3300273054529267,0.1358095479707191,0.2335889822983482,0.2429050032180013,0.1755048841441678,0.2836295819422918,0.2847890117696054,0.0953769611796012,0.1534612680633776,0.1080563689424519,0.1412663893394941,0.0913853588618628,0.1318347647566163,0.0971550605711163,0.0795318836765004,0.0602748256432584,-0.0208510038681974
1ns,0.8207675615401242,0.7003482778901375,0.7607961862906532,0.7667605290318348,0.6993594042151452,0.6146348805716897,0.8199835528141984,0.6472185989863461,0.7096287859288402,0.8100393959164822,0.1250643186120844,0.0335016803931396,0.2391231403672158,0.3261271284750587,0.1531802662621251,0.2134878874636752,0.2278658513569633,0.2417484807417483,0.248667606512456,0.3630347722516513,0.0814981602700406,0.0850937251056361,0.1741913890357496,0.0166796248854725,0.0983263594642669,0.1842180770445821,0.1145530875115496,-0.0223892895512385,0.0530634475762382,-0.020399088490689
2ns,0.7695493791459049,0.7278524956262203,0.7342795858072871,0.7429081330862175,0.6744619638534581,0.6904667161071798,0.8232648519303009,0.6042711548104357,0.7255168931342644,0.7565209663200562,0.1942109343990545,0.2798546593522993,0.2612593116596775,0.2073698412374893,0.1085493500023975,0.1262537723859612,0.19637086299526,0.1685583430181932,0.2523966340282038,0.2633073635252422,0.1710135871262534,0.1354633195332184,0.1546574085848462,0.1274306595387293,0.2053689794887716,0.2432089936039836,0.1626097066171167,0.0968875891055057,0.0796276861751457,-0.0485024054489242
3ns,0.7499969703323088,0.738235029829406,0.7588295102831883,0.7276779937657721,0.681173489537017,0.6616746139202356,0.8241553458610903,0.6584264437338445,0.7444057910794936,0.8197230357560162,0.2310063177110897,0.2538523663692241,0.2382565589098446,0.2038723568102277,0.0939120566385617,0.190199067161311,0.2301602868285428,0.1869546018280509,0.162439965387658,0.2167305971292707,0.1926113397875493,0.0786996027513378,0.1104808133884117,0.0541610840624026,0.145591978278686,0.1790292949403276,0.1065963857593771,0.0925901844458508,0.0911252659592072,0.0080680516753035
4ns,0.7477609623491734,0.7625317095141226,0.7311698681132623,0.7286854668325552,0.6351145853953168,0.6320462742285593,0.7812825658627234,0.6464433094949299,0.7060607636739373,0.775239336296912,0.2623695590281092,0.2634576185817202,0.1948657489598937,0.2605584820098947,0.1058097067527199,0.1471952524363979,0.212601520512619,0.256220911717427,0.2820025587469056,0.2606649640844419,0.0732467400460383,0.1913842760715006,0.2003174100148176,0.1157556992892865,0.1430524683009305,0.211456376501234,0.1926231841630835,0.074334119480367,0.1606494188706928,0.1121527631139762
5ns,0.7666279230867478,0.7429593480469245,0.7556534641721914,0.7465052070222,0.6996680692583839,0.6609730597734732,0.7562864534541573,0.6361621735413185,0.6955533506352118,0.770093639981754,0.2442231633563498,0.2868842968972522,0.1496493832763914,0.1348552880410306,0.1395504286523374,0.1980037820036913,0.2756806849682121,0.2590171742317849,0.2495761027725929,0.2380491551544056,0.1437739537098007,0.2089388874322604,0.1539809587290252,0.1387968835863645,0.2373012720274216,0.241446222306817,0.0500514497445351,0.0441725142123621,0.0208749262805376,0.0789372117479163
6ns,0.7720977213080025,0.7280273060184872,0.778388465214594,0.7326593326020612,0.6850055596036024,0.6767409171187869,0.8548235729758021,0.6252821337824754,0.7113278749937995,0.7730384533898975,0.2301314219097681,0.3049667718357659,0.1698180493734257,0.2429440701916045,0.1325338460672044,0.2207692140861449,0.2336512936030207,0.2507743870442096,0.2824531295467741,0.2163050412530545,-0.0291301334670615,0.1025655149108486,0.1042092214439929,0.1745576785136214,0.0920254520457756,0.1698431402336034,0.053936985762054,0.2217330287153823,0.1366055670892033,0.0790592968382561
7ns,0.7663055658240115,0.7442224496335701,0.7832540187528649,0.7129342241271278,0.6702978593918887,0.6849261547601408,0.8279348923215825,0.619889887588395,0.6975930511848161,0.743197450893109,0.2543023132093377,0.2664379348653218,0.2154684573619405,0.1734196796935484,0.0831404881370403,0.1846698703837136,0.2211889538305457,0.2159307307120148,0.275880310112426,0.2143797152272193,0.0857623789626971,0.0545608819324142,0.182279658564898,0.096331522223273,0.1169191258714443,0.02338877877385,0.0662046070422032,0.148906387884716,0.1558547923381054,0.0888109491198496
8ns,0.7698460775828563,0.6906250895344621,0.766625359301132,0.7043408805782595,0.6786399255943152,0.6599573871462912,0.8072947274627702,0.6473722967384776,0.709593421479461,0.7942367221918881,0.2456273189853185,0.3450828232432322,0.2130681624294755,0.2834840028636578,0.1119817195869502,0.1567654788792384,0.3528576947962942,0.2600129649456338,0.2977906155045087,0.2476220502207292,-0.0206018194344037,-0.0107832753742949,0.1988302367664818,0.1047003385330554,0.0174013159003261,0.1065851562319698,0.0697959816565246,0.2488413141383271,0.1461741650359787,0.1652423775795076
9ns,0.7251639719695786,0.7814513656547377,0.7437542017302319,0.7699841115573667,0.5997069637421737,0.6617308848706209,0.7859204876081824,0.6131133366048807,0.7203751609674504,0.7756659912902062,0.3248994168399837,0.2953687591455892,0.3101147407889374,0.2166217446486037,0.1788721342484334,0.1740165535344391,0.2612758312580827,0.2928627476793711,0.3021377893910707,0.2758010828571067,0.178196884549502,0.0928257108369456,0.1344636162327432,0.0858921960618797,0.1451288924965098,0.0305821667793029,0.129911622295584,0.0713419554452965,0.1326187794592583,0.0502613981077018
