mol_id,split0_test_score_JAK1,split1_test_score_JAK1,split2_test_score_JAK1,split3_test_score_JAK1,split4_test_score_JAK1,split5_test_score_JAK1,split6_test_score_JAK1,split7_test_score_JAK1,split8_test_score_JAK1,split9_test_score_JAK1,split0_test_score_GSK3,split1_test_score_GSK3,split2_test_score_GSK3,split3_test_score_GSK3,split4_test_score_GSK3,split5_test_score_GSK3,split6_test_score_GSK3,split7_test_score_GSK3,split8_test_score_GSK3,split9_test_score_GSK3
0ns,0.0856868025837066,0.1122608209514869,0.1795112381566072,0.1224515676886675,0.14470757060939,0.0983379867138642,0.080314184586569,0.0374731479693239,0.1524786108702439,0.0520765455052867,0.0856868025837066,0.1122608209514869,0.1795112381566072,0.1224515676886675,0.14470757060939,0.0983379867138642,0.080314184586569,0.0374731479693239,0.1524786108702439,0.0520765455052867
1ns,0.0493894456877072,0.0168982938633841,0.0464523133449227,-0.0282173166596435,-0.0160124718659986,0.0048848291831576,0.0080970218390217,0.0308622254499669,-0.0174278370591913,-0.0348678529442909,0.0493894456877072,0.0168982938633841,0.0464523133449227,-0.0282173166596435,-0.0160124718659986,0.0048848291831576,0.0080970218390217,0.0308622254499669,-0.0174278370591913,-0.0348678529442909
2ns,0.0360666438075413,-0.0862531908340147,-0.0396362598701403,-0.0227570027860091,-0.0698815345633807,0.0202807498476875,-0.0158431605329247,-0.0306318203850957,0.0141827141235328,-0.0062424147504331,0.0360666438075413,-0.0862531908340147,-0.0396362598701403,-0.0227570027860091,-0.0698815345633807,0.0202807498476875,-0.0158431605329247,-0.0306318203850957,0.0141827141235328,-0.0062424147504331
3ns,0.0187909635363722,-0.0552354340210212,-0.0007982340966286,-0.0249554720115867,0.0302548743401125,0.0316638282090745,-0.009226971644487,-0.0609343707851395,0.0040768718562395,-0.0148415782262101,0.0187909635363722,-0.0552354340210212,-0.0007982340966286,-0.0249554720115867,0.0302548743401125,0.0316638282090745,-0.009226971644487,-0.0609343707851395,0.0040768718562395,-0.0148415782262101
4ns,0.0058618740597403,0.0268268139145477,0.0010484761399229,0.0336582611791468,-0.0347171599755342,-0.0030566108351173,-0.01693764736386,0.1180867001448565,0.0034724527877824,0.0320900289416439,0.0058618740597403,0.0268268139145477,0.0010484761399229,0.0336582611791468,-0.0347171599755342,-0.0030566108351173,-0.01693764736386,0.1180867001448565,0.0034724527877824,0.0320900289416439
5ns,0.0386674545841058,-0.011345650875659,0.0147780787193798,0.026562775526967,0.1189426430649912,0.0626108532568087,-0.017713026277641,0.0576446259367947,0.0328319945708858,0.0210636700723557,0.0386674545841058,-0.011345650875659,0.0147780787193798,0.026562775526967,0.1189426430649912,0.0626108532568087,-0.017713026277641,0.0576446259367947,0.0328319945708858,0.0210636700723557
6ns,-0.0823872419399265,0.0175843434171737,0.0069998875694636,-0.0052779325150764,0.0038018921272265,-0.0063184231032833,-0.0017714079787287,-0.0019372115733811,0.0096838214411153,-0.0168356445043933,-0.0823872419399265,0.0175843434171737,0.0069998875694636,-0.0052779325150764,0.0038018921272265,-0.0063184231032833,-0.0017714079787287,-0.0019372115733811,0.0096838214411153,-0.0168356445043933
7ns,0.0122016825093898,-0.0221717961329639,0.049744288968453,-0.0090133821360605,0.0455694393229897,0.0178071210019443,0.0243992563302646,0.0303908123785608,0.0272818284998933,-0.019696809566496,0.0122016825093898,-0.0221717961329639,0.049744288968453,-0.0090133821360605,0.0455694393229897,0.0178071210019443,0.0243992563302646,0.0303908123785608,0.0272818284998933,-0.019696809566496
8ns,0.0485562032337645,-0.0245212847354863,0.0515713487176652,-0.0511624749847239,-0.0154590445655724,0.0300856804850265,-0.1018949553364692,0.0595183858483466,0.0517196305159153,0.0261419856096168,0.0485562032337645,-0.0245212847354863,0.0515713487176652,-0.0511624749847239,-0.0154590445655724,0.0300856804850265,-0.1018949553364692,0.0595183858483466,0.0517196305159153,0.0261419856096168
9ns,-0.0333102843040855,-0.0050733923843166,-0.0426908088768163,-0.0473309182194403,-0.0132887165007617,-0.0189418548362163,0.0407199442019611,-0.0625709775893303,-0.0301367598968935,0.0133082155467256,-0.0333102843040855,-0.0050733923843166,-0.0426908088768163,-0.0473309182194403,-0.0132887165007617,-0.0189418548362163,0.0407199442019611,-0.0625709775893303,-0.0301367598968935,0.0133082155467256
10ns,-0.0646513381584297,-0.0261556186226521,-0.0142921167403007,0.0174154001362798,0.0286150481923983,-0.020332318183778,-0.0602298437799655,-0.0544418330148011,0.0260021716216676,-0.0296896586989321,-0.0646513381584297,-0.0261556186226521,-0.0142921167403007,0.0174154001362798,0.0286150481923983,-0.020332318183778,-0.0602298437799655,-0.0544418330148011,0.0260021716216676,-0.0296896586989321
conformations_10,0.0786989782378334,0.0505487836105781,0.0344559414640001,0.0567303517656453,0.0523748832770468,0.076555077772099,0.0120622493235086,0.0640354228659108,-0.0079906299252907,-0.0127650287690421,0.0786989782378334,0.0505487836105781,0.0344559414640001,0.0567303517656453,0.0523748832770468,0.076555077772099,0.0120622493235086,0.0640354228659108,-0.0079906299252907,-0.0127650287690421
conformations_20,0.0938079949309035,0.0519304447177196,0.0398251306580059,0.0767957555793175,0.0608424947215082,0.0805895606288723,0.0282656791991108,0.0702283135635163,-0.016516964068397,0.0056307361848182,0.0938079949309035,0.0519304447177196,0.0398251306580059,0.0767957555793175,0.0608424947215082,0.0805895606288723,0.0282656791991108,0.0702283135635163,-0.016516964068397,0.0056307361848182
