mol_id,split0_test_score_JAK1,split1_test_score_JAK1,split2_test_score_JAK1,split3_test_score_JAK1,split4_test_score_JAK1,split5_test_score_JAK1,split6_test_score_JAK1,split7_test_score_JAK1,split8_test_score_JAK1,split9_test_score_JAK1,split0_test_score_GSK3,split1_test_score_GSK3,split2_test_score_GSK3,split3_test_score_GSK3,split4_test_score_GSK3,split5_test_score_GSK3,split6_test_score_GSK3,split7_test_score_GSK3,split8_test_score_GSK3,split9_test_score_GSK3
0ns,0.0565390529406449,0.1795667902603003,0.1554352599873466,0.1194184896069058,0.1310788248576464,0.0290051183647375,0.0619075488093103,0.0758701390898176,0.1321878077072409,0.1187361624179221,0.0565390529406449,0.1795667902603003,0.1554352599873466,0.1194184896069058,0.1310788248576464,0.0290051183647375,0.0619075488093103,0.0758701390898176,0.1321878077072409,0.1187361624179221
1ns,-0.0342889928036449,-0.0312555373544203,0.026159196094495,0.0031711321263355,-0.0205875410144349,-0.0041398116410213,-0.088414367004072,0.0252718463417048,-0.0071177657795613,-0.0025930979555552,-0.0342889928036449,-0.0312555373544203,0.026159196094495,0.0031711321263355,-0.0205875410144349,-0.0041398116410213,-0.088414367004072,0.0252718463417048,-0.0071177657795613,-0.0025930979555552
2ns,-0.0171126003179797,-0.0547064054598758,-0.0200713869623458,-0.0431506809636668,-0.0129035103944383,0.0168652696676725,-0.0265405622093597,-0.1022040134112454,-0.005583845911196,0.0228308843734467,-0.0171126003179797,-0.0547064054598758,-0.0200713869623458,-0.0431506809636668,-0.0129035103944383,0.0168652696676725,-0.0265405622093597,-0.1022040134112454,-0.005583845911196,0.0228308843734467
3ns,0.0021663756782873,-0.0458474538571613,-0.034503291824375,-0.0577375828857065,0.0031699293457275,-0.0243034078642188,-0.0152102792971478,-0.0838296745930311,-0.0109714763292718,-0.0087068753269046,0.0021663756782873,-0.0458474538571613,-0.034503291824375,-0.0577375828857065,0.0031699293457275,-0.0243034078642188,-0.0152102792971478,-0.0838296745930311,-0.0109714763292718,-0.0087068753269046
4ns,-0.054336782173435,0.0093791327278546,-0.0652237893429921,-0.004962965695765,-0.0900274117817729,0.0171912370618407,-0.0310925886946438,0.0533025457554487,-0.0069671417311119,0.0179141418256709,-0.054336782173435,0.0093791327278546,-0.0652237893429921,-0.004962965695765,-0.0900274117817729,0.0171912370618407,-0.0310925886946438,0.0533025457554487,-0.0069671417311119,0.0179141418256709
5ns,0.0148930338333657,-0.0157497181865069,0.0208917629316404,-0.0112185272194027,0.0346070509337973,-0.0060317652969072,-0.0700658283782991,-0.013692199170767,0.0050862567873268,0.033734367331196,0.0148930338333657,-0.0157497181865069,0.0208917629316404,-0.0112185272194027,0.0346070509337973,-0.0060317652969072,-0.0700658283782991,-0.013692199170767,0.0050862567873268,0.033734367331196
6ns,-0.031426192935213,-0.0001182038659359,0.0070292443518757,0.0249344231466375,-0.037655101417914,0.0100307042896442,-0.0273763121536998,-0.1084769646389738,0.009048068533686,-0.0083037502364788,-0.031426192935213,-0.0001182038659359,0.0070292443518757,0.0249344231466375,-0.037655101417914,0.0100307042896442,-0.0273763121536998,-0.1084769646389738,0.009048068533686,-0.0083037502364788
7ns,0.0137080032833298,0.0068157644880438,0.0901495591695111,-0.008413929254343,0.001221630557083,0.0278260686559722,0.0088012400685825,0.0196137781844116,-0.0034514515976213,-0.0063844645049493,0.0137080032833298,0.0068157644880438,0.0901495591695111,-0.008413929254343,0.001221630557083,0.0278260686559722,0.0088012400685825,0.0196137781844116,-0.0034514515976213,-0.0063844645049493
8ns,0.0397158501940098,0.0135689181252649,0.0450220542911399,-0.0629132576918072,0.0085963398086629,0.0315591879976211,-0.0775616601607147,-0.0082301289304262,0.0189014760037459,0.0491769568915897,0.0397158501940098,0.0135689181252649,0.0450220542911399,-0.0629132576918072,0.0085963398086629,0.0315591879976211,-0.0775616601607147,-0.0082301289304262,0.0189014760037459,0.0491769568915897
9ns,-0.0038700085479521,0.0268899415553439,-0.0296096333087583,-0.0142788327523968,-0.0465556376942124,-0.0101405041317639,0.0125251021122019,-0.0488393050583773,-0.029662262944309,0.042782058396421,-0.0038700085479521,0.0268899415553439,-0.0296096333087583,-0.0142788327523968,-0.0465556376942124,-0.0101405041317639,0.0125251021122019,-0.0488393050583773,-0.029662262944309,0.042782058396421
10ns,-0.0777225612049223,0.0257799219228781,0.0121806756420446,0.0297723736683349,-0.0001036330821657,-0.0152337851884774,-0.0763482837776736,-0.0453991067932213,0.0186910876114183,0.002072909346345,-0.0777225612049223,0.0257799219228781,0.0121806756420446,0.0297723736683349,-0.0001036330821657,-0.0152337851884774,-0.0763482837776736,-0.0453991067932213,0.0186910876114183,0.002072909346345
conformations_10,0.0568139287556815,0.043962753821331,0.0266299501338722,0.0351327147451775,0.0298389378369909,0.0501954945412829,0.0229117412092738,0.0410713197402123,0.0078406818798894,0.0149044797122096,0.0568139287556815,0.043962753821331,0.0266299501338722,0.0351327147451775,0.0298389378369909,0.0501954945412829,0.0229117412092738,0.0410713197402123,0.0078406818798894,0.0149044797122096
conformations_20,0.0698615182126287,0.0459077010945665,0.0397611216868921,0.0354849815676286,0.0284333124294579,0.0460806068622345,0.0221785975584356,0.0485019558777708,0.013354589813078,0.0181022541951875,0.0698615182126287,0.0459077010945665,0.0397611216868921,0.0354849815676286,0.0284333124294579,0.0460806068622345,0.0221785975584356,0.0485019558777708,0.013354589813078,0.0181022541951875
